Likes,Views
3407,135612
76779,1758063
63825,1564007
71566,922918
96513,1855644
33570,943119
135047,5937790
216935,4782514
45565,7001236
24252,667767
118001,2359142
20999,413179
15322,389114
17866,444953
13217,371563
26890,1633059
9562,760249
11743,1086568
146978,3186890
363771,11422924
2117,63650
42841,1280387
23689,530889
55231,2122433
1289,35948
970,23175
1608,78520
1452,63599
35758,1006704
8725,257848
110145,2954979
12188,304037
59458,1541386
3494,589007
36423,1085076
941,25594
134194,4098623
42075,7188648
709,25745
78852,1889567
32102,786765
188623,4195072
343227,9618335
43960,791624
77411,2474364
24,3461
4492,274201
51846,1156785
1029,97434
534,57858
8526,544884
588,69951
137,18531
848,86855
827,131012
1200,54596
1167,235019
1573,60528
1145,106127
474,75301
82,17145
23828,500097
775,127082
8484,237313
7946,905023
510,34715
129,10642
1288,172513
257,62189
612,60835
2385,288722
6379,808787
1009,127803
5630,533947
686,56683
7277,796750
695,159877
15854,1465011
1030,187892
198,17763
7342,932432
286,23135
2083,164119
1728,212973
180,13976
1102,106690
1688,89985
8384,176151
63825,1564007
4163,133933
2925,99244
298406,3773387
549,16307
2170,126228
1365,46436
3516,121644
2481,67444
2501,84565
82449,2007038
1243,5967
48710,552256
29966,205943
15842,530763
3374,82874
8260,191777
1525,14877
468,10351
18208,228095
3171,19693
1204,27564
10556,66633
869,22860
13492,879645
358,2386
2677,65005
39872,246407
46642,268946
674,5931
3495,226258
789,19223
3273,31837
4484,97946
2700,70186
238193,7132206
71905,2381931
9574,87891
1215,64958
11797,364725
2750,208701
563,14537
39944,5093587
19987,1335282
275577,15040548
62969,4288833
12785,1945140
778342,57369066
56480,12272628
23668,1499121
102369,16099483
60821,12867358
355223,11181957
7866,619006
84728,10909239
6920,665643
22479,2020370
6568,592998
127971,20647398
11805,961317
601464,27922929
241605,31518906
39999,5683239
33316,7795119
14899,1836457
25347,9444655
11898,901368
1096,106597
6325,573655
867074,106014469
6946,647117
51562,4282206
31796,6134948
46,2219
149084,4820297
191,27378
38,4114
32772,1194578
2584,1051751
15,867
132236,15110047
3991,269716
2192,230945
54006,2699810
14293,577426
1121,65057
1941,83228
15872,4290144
2807,203084
22288,11666184
10119,891548
135155,2361410
14408,275924
315980,13176819
44809,1341953
22532,443909
295514,8378324
1165120,44943014
136929,5249373
2048,58330
169217,7370713
56460,3745331
78076,2947659
28603,855958
910553,52061447
49642,3750968
338470,14322764
46638,1902823
80596,1606273
554,15329
723998,31858250
665269,36467409
70465,10097646
600,10671
32092,425850
